,price,area,price per square foot
197,528000,1100,480
198,176000,461,381.7787419
199,207900,401,518.4538653
200,528000,1100,480
201,176000,461,381.7787419
202,250800,685,366.1313869
203,169400,398,425.6281407
204,250800,685,366.1313869
205,533500,1297,411.3338473
206,207900,401,518.4538653
207,660000,1778,371.2035996
208,250800,685,366.1313869
209,207900,401,518.4538653
210,528000,1100,480
211,250800,685,366.1313869
212,169400,398,425.6281407
213,533500,1297,411.3338473
214,176000,461,381.7787419
215,533500,1297,411.3338473
216,176000,461,381.7787419
217,250800,685,366.1313869
218,204600,536,381.7164179
219,343200,825,416
220,254100,722,351.9390582
221,174900,515,339.6116505
222,144100,439,328.2460137
223,317900,892,356.3901345
224,317900,892,356.3901345
225,195000,622,313.5048232
226,211200,401,526.6832918
227,541200,1100,492
228,245300,678,361.79941
229,258500,685,377.3722628
230,550000,1297,424.0555127
231,338800,825,410.6666667
232,338800,825,410.6666667
233,189200,415,455.9036145
234,343200,825,416
235,174900,515,339.6116505
236,216700,622,348.392283
237,254100,722,351.9390582
238,343200,825,416
239,189200,415,455.9036145
240,338800,825,410.6666667
241,532400,1240,429.3548387
242,228600,722,316.6204986
243,174900,515,339.6116505
244,317900,892,356.3901345
245,254100,722,351.9390582
246,343200,825,416
247,254100,722,351.9390582
248,174900,515,339.6116505
249,144100,439,328.2460137
250,317900,892,356.3901345
251,302500,892,339.1255605
252,216700,622,348.392283
253,189200,415,455.9036145
254,189200,415,455.9036145
255,343200,825,416
256,144100,439,328.2460137
257,317900,892,356.3901345
258,343200,825,416
259,189200,415,455.9036145
260,254100,722,351.9390582
261,343200,825,416
262,189200,415,455.9036145
263,338800,825,410.6666667
264,338800,825,410.6666667
265,144100,439,328.2460137
266,317900,892,356.3901345
267,216700,622,348.392283
268,254100,722,351.9390582
269,185900,515,360.9708738
270,144100,439,328.2460137
271,316800,892,355.1569507
272,216700,622,348.392283
273,254100,722,351.9390582
274,366100,1151,318.0712424
275,306700,901,340.399556
276,201500,505,399.009901
277,227500,597,381.0720268
278,333100,1010,329.8019802
279,218900,566,386.7491166
280,399200,1297,307.7872012
281,1517100,3217,471.5884364
282,1517100,3217,471.5884364
283,2374100,4290,553.4032634
284,1039000,2145,484.3822844
285,1792900,3217,557.3204849
286,1517100,3217,471.5884364
287,1517100,3217,471.5884364
288,1517100,3217,471.5884364
289,1517100,3217,471.5884364
290,1517100,3217,471.5884364
291,1517100,3217,471.5884364
292,1517100,3217,471.5884364
293,1517100,3217,471.5884364
294,1517100,3217,471.5884364
295,921800,2081,442.9601153
296,1517100,3217,471.5884364
297,1517100,3217,471.5884364
298,1517100,3217,471.5884364
299,1517100,3217,471.5884364
300,1517100,3217,471.5884364
301,1517100,3217,471.5884364
302,1517100,3217,471.5884364
303,1517100,3217,471.5884364
304,1517100,3217,471.5884364
305,1517100,3217,471.5884364
306,1517100,3217,471.5884364
307,1517100,3217,471.5884364
308,1517100,3217,471.5884364
309,1517100,3217,471.5884364
310,2697400,5641,478.1776281
311,1978100,3796,521.1011591
312,289200,777,372.2007722
313,210200,500,420.4
314,399400,1213,329.2662819
315,461100,1430,322.4475524
316,266400,694,383.8616715
317,1801300,3520,511.7329545
318,2247400,3987,563.6819664
319,1067200,2224,479.8561151
320,614200,1256,489.0127389
321,875200,1850,473.0810811
322,680900,1382,492.6917511
323,545600,1125,484.9777778
324,523700,1083,483.5641736
325,1613500,3178,507.7092511
326,1093500,2275,480.6593407
327,1525800,3017,505.734173
328,1174400,2431,483.0933772
329,779900,1662,469.253911
330,753700,1610,468.136646
331,941700,1980,475.6060606
332,784900,1672,469.437799
333,753700,1610,468.136646
334,941700,1980,475.6060606
335,1192700,2466,483.6577453
336,506500,1050,482.3809524
337,98100,804,122.0149254
338,93600,754,124.137931
339,362100,823,439.9756987
340,88900,703,126.458037
341,446600,1015,440
342,753700,1610,468.136646
343,753700,1610,468.136646
344,490300,1019,481.157998
345,551300,1136,485.2992958
346,2078000,3707,560.5611006
347,783900,1670,469.4011976
348,1671600,3284,509.0133983
349,1000100,2094,477.6026743
350,1694600,3326,509.500902
351,1015600,2124,478.1544256
352,2227300,3954,563.3029843
353,698300,1500,465.5333333
354,969300,2034,476.5486726
355,679300,1462,464.6374829
356,930300,1958,475.1276813
357,968300,2032,476.5255906
358,679300,1462,464.6374829
359,930300,1958,475.1276813
360,840100,1781,471.7012914
361,801600,1705,470.1466276
362,933000,1963,475.292919
363,826400,1754,471.1516534
364,1053200,2197,479.3809741
365,366300,777,471.4285714
366,1413900,2811,502.9882604
367,1053200,2197,479.3809741
368,1413900,2811,502.9882604
369,1053200,2197,479.3809741
370,1217100,2513,484.3215281
371,1207800,2495,484.0881764
372,960000,2016,476.1904762
373,1057800,2206,479.5104261
